,Start (s),End (s),Scientific name,Common name,Confidence
31,102.0,105.0,Aplonis panayensis,Asian Glossy Starling,0.1947
50,141.0,144.0,Aplonis panayensis,Asian Glossy Starling,0.194
212,405.0,408.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1932
187,357.0,360.0,Sayornis nigricans,Black Phoebe,0.1922
261,483.0,486.0,Anthreptes malacensis,Brown-throated Sunbird,0.1896
107,222.0,225.0,Human vocal,Human vocal,0.1893
4,36.0,39.0,Phylloscopus borealis,Arctic Warbler,0.1879
301,534.0,537.0,Spinus pinus,Pine Siskin,0.1874
265,489.0,492.0,Cinnyris jugularis,Olive-backed Sunbird,0.1867
280,510.0,513.0,Anthreptes malacensis,Brown-throated Sunbird,0.1852
145,282.0,285.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1842
236,447.0,450.0,Orthotomus atrogularis,Dark-necked Tailorbird,0.1832
138,273.0,276.0,Human vocal,Human vocal,0.1827
231,438.0,441.0,Rhipidura javanica,Malaysian Pied-Fantail,0.1815
25,84.0,87.0,Aplonis panayensis,Asian Glossy Starling,0.1813
311,543.0,546.0,Trichoglossus haematodus,Coconut Lorikeet,0.181
254,477.0,480.0,Cinnyris lotenius,Loten's Sunbird,0.1807
190,363.0,366.0,Human vocal,Human vocal,0.1806
77,180.0,183.0,Cinnyris jugularis,Olive-backed Sunbird,0.1797
115,231.0,234.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1766
82,186.0,189.0,Anthreptes malacensis,Brown-throated Sunbird,0.1764
126,243.0,246.0,Cinnyris jugularis,Olive-backed Sunbird,0.1756
175,327.0,330.0,Anthreptes malacensis,Brown-throated Sunbird,0.1742
66,171.0,174.0,Hedydipna collaris,Collared Sunbird,0.1737
160,306.0,309.0,Cinnyris jugularis,Olive-backed Sunbird,0.1733
153,294.0,297.0,Scolopax rusticola,Eurasian Woodcock,0.1733
154,294.0,297.0,Human vocal,Human vocal,0.1725
7,42.0,45.0,Acrocephalus australis,Australian Reed Warbler,0.1719
139,273.0,276.0,Engine,Engine,0.1712
